idx,path_length,tax,time,time_limit_reached,iteration,ram_usage
0,18,-11.0,0.3182554244995117,0,37,4.633823394775391
1,16,-6.0,0.07963323593139648,0,29,4.633869171142578
2,21,-14.5,0.09207487106323242,0,43,4.640117645263672
3,20,-7.75,0.08458542823791504,0,37,4.639499664306641
4,28,-4.5,0.09960198402404785,0,56,4.647712707519531
5,13,1,10.080344915390015,1,7929,4.616405487060547
6,25,-11.25,0.07815814018249512,0,47,4.6172332763671875
7,30,-10.75,0.09371376037597656,0,60,4.617057800292969
8,28,-13.0,0.10938358306884766,0,53,4.615619659423828
9,29,-26.0,0.10936713218688965,0,53,4.615447998046875
10,17,-6.5,0.05483675003051758,0,31,4.617057800292969
11,8,1,10.065510988235474,1,8438,4.5781402587890625
12,20,-8.375,0.07822227478027344,0,37,4.577964782714844
13,9,1,10.076765537261963,1,7189,4.553276062011719
14,23,-10.25,0.07811737060546875,0,43,4.554286956787109
15,28,-23.5,0.07812356948852539,0,54,4.555419921875
16,28,-12.125,0.09374761581420898,0,53,4.555839538574219
17,11,1,10.096089839935303,1,6067,4.558177947998047
18,30,-28.0,0.09375452995300293,0,55,4.5558929443359375
19,35,-6.25,0.11237621307373047,0,65,4.559078216552734
20,20,-6.75,0.06312084197998047,0,37,4.55889892578125
21,9,1,10.072714805603027,1,6406,4.5806884765625
22,27,-4.09375,0.10937714576721191,0,54,4.582313537597656
23,26,-8.1875,0.07811641693115234,0,52,4.582202911376953
24,15,1,10.111680507659912,1,5575,4.569904327392578
25,51,-6.0625,5.132959365844727,0,2708,4.572090148925781
26,28,-25.125,0.0781252384185791,0,51,4.571903228759766
27,41,-125.5,0.1406269073486328,0,99,4.571727752685547
28,17,1,10.144959211349487,1,3796,4.560691833496094
29,30,-16.5,0.08551692962646484,0,56,4.560539245605469
30,21,-6.875,0.07812714576721191,0,39,4.560077667236328
31,10,1,10.081782817840576,1,5612,4.560493469238281
32,24,-16.6875,0.09365582466125488,0,49,4.559928894042969
33,23,-8.84375,0.09383988380432129,0,43,4.559757232666016
34,24,-12.8125,0.07812714576721191,0,44,4.5595855712890625
35,51,1,10.169486045837402,1,4203,4.561622619628906
36,53,-6.640625,0.180161714553833,0,121,4.5612335205078125
37,28,-28.5625,0.10956764221191406,0,56,4.563243865966797
38,36,-14.25,0.1250169277191162,0,72,4.562778472900391
39,15,1,10.162621974945068,1,3748,4.559173583984375
40,22,-12.875,0.08621716499328613,0,45,4.563484191894531
41,45,1,10.127641677856445,1,5988,4.560737609863281
42,32,-42.6875,0.10936760902404785,0,72,4.560630798339844
43,23,-23.84375,0.09375762939453125,0,44,4.5604705810546875
44,27,-22.8125,0.10936975479125977,0,54,4.561054229736328
45,28,-16.8125,0.09377193450927734,0,52,4.560626983642578
46,54,-6.6953125,0.19518113136291504,0,123,4.5569305419921875
47,29,-25.78125,0.09376692771911621,0,54,4.561073303222656
48,48,-148.0,0.18748688697814941,0,115,4.560657501220703
49,42,-32.25,0.13265299797058105,0,84,4.560173034667969
