idx,path_length,tax,time,time_limit_reached,iteration,ram_usage
0,16,-8.0,0.4301481246948242,0,73,5.9147491455078125
1,12,0.0,0.17886948585510254,0,51,5.922733306884766
2,23,-18.0,0.4674715995788574,0,166,5.922142028808594
3,18,-6.0,0.5176005363464355,0,99,5.918830871582031
4,38,0.0,3.099865436553955,0,245,5.922065734863281
5,35,0.0,5.904643297195435,0,272,5.88629150390625
6,31,-24.0,7.376384973526001,0,717,5.8950958251953125
7,30,-4.0,1.691143274307251,0,339,5.878299713134766
8,26,-6.0,4.883810043334961,0,1158,5.875125885009766
9,35,0.0,11.335160970687866,0,997,5.890682220458984
10,13,-8.0,0.13997411727905273,0,43,5.8904876708984375
11,20,0.0,0.3924860954284668,0,67,5.891765594482422
12,14,-6.0,0.19718647003173828,0,63,5.891208648681641
13,25,-26.0,0.618492603302002,0,103,5.886177062988281
14,15,-4.0,0.4519217014312744,0,160,5.8804168701171875
15,28,-54.0,0.7728838920593262,0,131,5.881782531738281
16,38,-2.0,5.335849285125732,0,875,5.8832855224609375
17,37,-2.0,5.728063106536865,0,576,5.883308410644531
18,38,-2.0,15.237133264541626,0,1294,5.902111053466797
19,39,-50.0,17.524078845977783,0,1815,5.914669036865234
20,22,-8.0,0.25868654251098633,0,61,5.916469573974609
21,21,-8.0,0.2518763542175293,0,58,5.917568206787109
22,43,0.0,25.31466555595398,0,1413,5.872791290283203
23,42,0.0,31.19134283065796,0,1340,5.879825592041016
24,33,-28.0,0.8837592601776123,0,142,5.8700408935546875
25,41,-4.0,8.485857009887695,0,780,5.862678527832031
26,40,-8.0,7.323574781417847,0,483,5.860942840576172
27,25,-52.0,1.702458381652832,0,392,5.877834320068359
28,39,-108.0,17.208234786987305,0,1825,5.862773895263672
29,46,4.0,60.244840145111084,1,1875,5.897697448730469
30,23,-24.0,0.348677396774292,0,63,5.897064208984375
31,22,-24.0,0.31562042236328125,0,60,5.897861480712891
32,32,-186.0,1.516892910003662,0,316,5.870567321777344
33,21,-118.0,0.2511725425720215,0,68,5.867305755615234
34,16,-52.0,0.19963812828063965,0,32,5.867115020751953
35,0,,60.22342228889465,1,5981,5.911552429199219
36,45,-12.0,17.579885005950928,0,1487,5.886783599853516
37,16,-18.0,0.7101593017578125,0,189,5.879112243652344
38,40,-178.0,13.442867517471313,0,1635,5.865837097167969
39,39,-178.0,10.975356101989746,0,1262,5.871833801269531
40,20,-188.0,0.40179872512817383,0,93,5.871345520019531
41,0,,60.65190887451172,1,8639,5.772899627685547
42,32,-376.0,1.545384407043457,0,287,5.775051116943359
43,19,-502.0,1.0115892887115479,0,275,5.780139923095703
44,17,-52.0,0.2278733253479004,0,79,5.780708312988281
45,30,-276.0,0.9525296688079834,0,197,5.784172058105469
46,38,-18.0,22.07188081741333,0,1519,5.795421600341797
47,53,-78.0,17.567399978637695,0,924,5.833171844482422
48,30,-340.0,3.6092820167541504,0,866,5.830661773681641
49,48,0.0,17.983372926712036,0,942,5.823581695556641
